time,open,high,low,close,tick_volume,spread
2016-05-09,9.37,9.43,9.28,9.34,28,0
2016-05-10,9.34,9.99,9.32,9.92,77,0
2016-05-11,9.92,10.31,9.81,10.12,81,0
2016-05-12,10.12,11.0,9.91,10.27,204,0
2016-05-13,10.27,10.39,10.23,10.24,30,0
2016-05-15,9.95,11.46,9.87,11.29,185,0
2016-05-16,11.29,12.53,10.96,11.8,264,0
2016-05-17,11.8,14.0,11.79,12.54,369,0
2016-05-18,12.54,14.24,12.5,14.15,188,0
2016-05-19,14.15,14.79,13.32,13.63,243,0
2016-05-20,13.63,13.87,13.61,13.84,32,0
2016-05-22,14.19,14.24,13.45,13.8,120,0
2016-05-23,13.8,13.8,11.88,12.46,251,0
2016-05-24,12.46,12.86,12.17,12.17,110,0
2016-05-25,12.17,12.17,12.17,12.17,1,0
2016-05-26,12.17,12.17,12.17,12.17,1,0
2016-05-27,12.17,12.17,12.17,12.17,1,0
2016-05-29,12.28,12.52,12.0,12.31,102,0
2016-05-30,12.31,12.31,12.31,12.31,1,0
2016-05-31,12.31,12.31,12.31,12.31,1,0
2016-06-01,12.31,12.31,12.31,12.31,1,0
2016-06-02,12.31,12.31,12.31,12.31,1,0
2016-06-03,12.31,12.31,12.31,12.31,1,0
2016-06-05,13.85,14.01,13.65,13.77,65,0
2016-06-06,13.77,14.5,13.77,14.21,103,0
2016-06-07,14.21,14.75,14.13,14.46,100,0
2016-06-08,14.46,14.52,14.14,14.41,72,0
2016-06-09,14.41,14.48,14.11,14.14,48,0
2016-06-10,14.14,14.14,14.14,14.14,1,0
2016-06-12,14.86,17.16,14.8,16.82,277,0
2016-06-13,16.82,18.89,15.11,17.9,649,0
2016-06-14,17.9,18.6,17.22,18.13,254,0
2016-06-15,18.13,20.87,17.82,20.5,374,0
2016-06-16,20.5,21.4,12.98,13.86,1021,0
2016-06-17,13.86,15.1,13.8,14.76,171,0
2016-06-19,12.1,12.73,10.5,11.87,424,0
2016-06-20,11.87,12.8,10.6,12.15,413,0
2016-06-21,12.15,15.84,12.07,13.84,586,0
2016-06-22,13.83,13.88,12.6,13.46,220,0
2016-06-23,13.46,14.55,13.3,14.22,175,0
2016-06-24,14.22,14.22,14.06,14.1,21,0
2016-06-26,13.77,14.1,13.77,13.9,54,0
2016-06-27,13.9,13.98,11.6,11.9,277,0
2016-06-28,11.9,12.8,11.6,12.7,161,0
2016-06-29,12.7,13.0,12.2,12.35,126,0
2016-06-30,12.35,12.57,11.78,12.1,134,0
2016-07-01,12.1,12.15,12.01,12.03,22,0
2016-07-03,11.88,11.88,9.95,11.27,326,0
2016-07-04,11.27,11.47,9.14,9.85,325,0
2016-07-05,9.85,11.03,9.85,10.46,176,0
2016-07-06,10.46,10.55,9.39,9.73,160,0
2016-07-07,10.05,10.12,9.34,9.91,143,0
2016-07-08,9.91,11.04,9.85,10.94,136,0
2016-07-10,10.82,10.95,10.77,10.81,36,0
2016-07-11,10.47,10.75,10.4,10.51,67,0
2016-07-12,10.51,10.65,10.42,10.48,44,0
2016-07-13,10.41,11.05,10.39,10.72,102,0
2016-07-14,11.49,12.38,11.37,12.2,132,0
2016-07-15,11.76,12.33,11.62,12.14,105,0
2016-07-17,11.01,11.56,10.95,11.36,88,0
2016-07-18,11.36,11.73,10.95,11.15,136,0
2016-07-19,11.15,12.15,11.03,11.65,175,0
2016-07-20,11.65,12.98,11.6,12.35,207,0
2016-07-21,12.35,12.66,12.01,12.57,109,0
2016-07-22,12.57,14.8,12.55,14.11,297,0
2016-07-24,13.0,13.4,12.53,13.28,147,0
2016-07-25,13.28,13.78,12.95,13.62,133,0
2016-07-26,13.62,13.66,11.25,12.22,343,0
2016-07-27,12.22,13.42,12.06,12.75,220,0
2016-07-28,12.75,12.95,12.46,12.64,88,0
2016-07-29,12.64,12.83,12.5,12.65,66,0
2016-07-31,11.73,12.05,11.7,11.7,68,0
2016-08-01,11.7,11.74,10.5,10.6,139,0
2016-08-02,10.6,10.8,7.2,9.37,598,0
2016-08-03,9.37,10.63,8.96,10.54,218,0
2016-08-04,10.54,11.46,10.25,10.85,212,0
2016-08-05,10.85,11.09,10.55,10.89,105,0
2016-08-07,10.83,11.23,10.83,11.04,60,0
2016-08-08,11.04,11.33,10.95,11.2,61,0
2016-08-09,11.2,12.77,11.2,12.4,195,0
2016-08-10,12.4,12.78,11.91,11.97,132,0
2016-08-11,11.97,12.12,11.55,11.58,76,0
2016-08-12,11.58,12.14,11.55,11.67,110,0
2016-08-14,11.01,11.24,10.8,11.13,77,0
2016-08-15,11.13,11.37,10.87,11.02,90,0
2016-08-16,11.02,11.15,10.76,10.92,69,0
2016-08-17,10.92,11.04,10.28,10.75,136,0
2016-08-18,10.75,10.94,10.6,10.66,60,0
2016-08-19,10.66,10.72,10.42,10.62,57,0
2016-08-21,11.03,11.24,11.01,11.09,41,0
2016-08-22,11.09,11.35,10.98,11.12,72,0
2016-08-23,11.12,11.22,10.85,11.0,63,0
2016-08-24,11.0,11.12,10.95,10.97,32,0
