hidden_size,num_layers,learning_rate,dropout,seq_len,batch_size,val_loss,val_acc,time_s
64,3,0.0001,0.3,60,128,0.9193106889724731,0.5197368421052632,8.8
64,3,0.0001,0.4,60,128,0.9194265902042389,0.5197368421052632,8.8
64,3,0.0001,0.2,60,128,0.9200357496738434,0.5197368421052632,8.9
32,2,0.0005,0.2,60,256,0.9258667826652527,0.45394736842105265,3.3
32,2,0.001,0.4,20,128,0.9281568825244904,0.3881578947368421,2.8
32,2,0.0005,0.2,60,128,0.929353803396225,0.45394736842105265,4.8
32,3,0.0005,0.3,60,256,0.9300497174263,0.40789473684210525,3.8
32,2,0.0005,0.3,60,128,0.9308645725250244,0.4276315789473684,4.4
32,2,0.0005,0.4,60,256,0.9315279722213745,0.47368421052631576,3.5
32,2,0.0005,0.4,60,128,0.9347659647464752,0.3815789473684211,4.4
64,2,0.0001,0.4,60,128,0.9347968101501465,0.3881578947368421,8.0
32,2,0.0005,0.3,60,256,0.9363775253295898,0.4342105263157895,3.4
32,2,0.001,0.2,60,128,0.9364874362945557,0.4276315789473684,2.6
64,2,0.0001,0.3,60,128,0.9365740418434143,0.3618421052631579,8.0
64,3,0.0001,0.3,60,256,0.9374306201934814,0.5460526315789473,5.2
32,2,0.001,0.4,60,256,0.9395552277565002,0.4605263157894737,2.2
64,3,0.0001,0.2,60,256,0.9399496912956238,0.5394736842105263,5.3
32,2,0.001,0.3,20,128,0.9400002956390381,0.39473684210526316,2.9
32,3,0.0005,0.2,60,256,0.9402859807014465,0.4605263157894737,3.7
32,2,0.001,0.3,60,128,0.9403069019317627,0.4605263157894737,2.6
32,3,0.001,0.3,60,256,0.9412796497344971,0.4276315789473684,2.4
32,2,0.001,0.3,60,256,0.941643238067627,0.4144736842105263,1.9
32,2,0.001,0.2,60,256,0.941926896572113,0.42105263157894735,2.1
64,3,0.0001,0.4,60,256,0.9425520300865173,0.5394736842105263,5.3
64,2,0.0001,0.2,60,128,0.9426250755786896,0.3815789473684211,7.7
32,3,0.0005,0.4,60,256,0.9426872730255127,0.4144736842105263,3.9
32,2,0.001,0.4,40,128,0.9439634680747986,0.3881578947368421,2.8
32,2,0.0005,0.4,40,128,0.9441038370132446,0.40131578947368424,4.2
