hidden_size,num_layers,learning_rate,dropout,seq_len,batch_size,final_equity,total_return_pct,trades,hit_rate,max_drawdown,RoverMDD,time_s
128,3,0.001,0.2,20,128,102532.52474359413,0.025325247435941275,195,0.5230769230769231,-0.007739354143687316,3.2722688438541185,22.3
128,3,0.001,0.2,60,128,103188.33289737646,0.031883328973764585,225,0.4577777777777778,-0.01792681825516662,1.7785269265267198,26.7
128,3,0.001,0.4,20,128,102100.48221941545,0.02100482219415455,199,0.5226130653266332,-0.012378644439689612,1.6968596437592833,25.3
128,2,0.001,0.2,20,256,101942.62682726792,0.019426268272679154,224,0.4732142857142857,-0.012286764211021817,1.5810727657044854,16.1
64,2,0.001,0.3,60,128,101435.4635173809,0.014354635173808928,207,0.47342995169082125,-0.011572483919028764,1.2404108983210977,25.7
64,2,0.001,0.3,60,256,96406.06329482277,-0.03593936705177228,224,0.3794642857142857,-0.036228296254269376,0.9920247642762652,19.7
64,2,0.001,0.4,60,256,97076.32881252578,-0.029236711874742177,222,0.4009009009009009,-0.029527649864600547,0.9901469303790694,20.7
128,2,0.0005,0.3,60,256,97145.20161374188,-0.02854798386258117,225,0.3511111111111111,-0.028933315671581195,0.9866820722044481,19.7
64,2,0.0005,0.4,40,256,98245.62875872046,-0.01754371241279543,215,0.4046511627906977,-0.017838154797391814,0.9834936747695767,26.6
128,2,0.0001,0.4,60,256,98121.01524093619,-0.018789847590638092,209,0.3875598086124402,-0.01927817585876801,0.9746693737152616,42.6
128,2,0.0001,0.2,60,256,98020.51306463772,-0.01979486935362278,220,0.42727272727272725,-0.020366318960467145,0.9719414388062173,42.4
128,2,0.0001,0.3,60,256,98241.15780621895,-0.01758842193781049,222,0.4009009009009009,-0.01816115788102357,0.9684636878901026,40.7
64,3,0.001,0.3,20,256,97837.24180217627,-0.021627581978237286,202,0.39603960396039606,-0.022634092572217268,0.9555312151009117,22.2
128,2,0.001,0.2,40,128,101404.18911116925,0.01404189111169253,187,0.5133689839572193,-0.014713223656938612,0.9543721647343076,25.6
128,3,0.001,0.3,40,256,95742.92962441781,-0.042570703755821886,207,0.4057971014492754,-0.04514716449031286,0.9429319479179296,19.9
128,2,0.0001,0.4,20,256,98631.31043519083,-0.013686895648091741,179,0.3743016759776536,-0.014644899692672686,0.9345844584336576,35.0
32,2,0.0001,0.2,60,256,98799.26914194506,-0.012007308580549434,173,0.4277456647398844,-0.012853919389194113,0.9341359796175167,65.7
128,2,0.0001,0.2,20,256,98312.35412685869,-0.01687645873141315,179,0.36312849162011174,-0.018067493835576487,0.9340785659039172,30.9
32,2,0.0001,0.4,60,256,98710.32218019589,-0.012896778198041138,156,0.38461538461538464,-0.01385229128040999,0.9310212972694167,68.8
32,3,0.0001,0.2,40,128,98382.21733422372,-0.01617782665776278,189,0.36507936507936506,-0.01744243655983546,0.9274980936445149,69.3
32,3,0.0001,0.3,40,128,98420.47279681636,-0.015795272031836356,182,0.36813186813186816,-0.017032307492694687,0.9273712348494819,65.2
128,2,0.001,0.3,60,256,97822.25682446742,-0.021777431755325816,212,0.39622641509433965,-0.023581366540448512,0.9235016858743765,15.7
64,2,0.0001,0.2,60,256,98963.66668225423,-0.01036333317745768,195,0.4512820512820513,-0.011239593502163303,0.9220380768631029,53.2
128,3,0.0005,0.4,20,256,98527.08037335076,-0.014729196266492363,237,0.4219409282700422,-0.015995223555298033,0.920849665875015,22.1
32,3,0.0005,0.3,40,256,98198.06648924311,-0.018019335107568913,199,0.37185929648241206,-0.019630348172909762,0.917932527169127,29.1
32,2,0.001,0.3,60,128,96893.39792930192,-0.03106602070698078,205,0.47804878048780486,-0.03394778538610721,0.9151118505566562,34.6
32,3,0.0005,0.4,60,256,98361.24748394196,-0.016387525160580407,215,0.4046511627906977,-0.017969408743230386,0.9119679670458872,33.9
128,2,0.0001,0.3,20,256,98751.43884100017,-0.012485611589998297,178,0.38764044943820225,-0.013742595597042162,0.9085337265316599,31.9
