hidden_sizes,learning_rate,dropout,batch_size,final_equity,total_return_pct,trades,hit_rate,max_drawdown,RoverMDD,time_s
"[128, 64, 128]",0.0001,0.4,128,101287.1046977733,0.012871046977733058,224,0.5446428571428571,-0.004179162665617908,3.079814787690255,76.3
"[128, 64, 32, 64, 128]",0.0001,0.3,64,100659.33070725357,0.006593307072535681,180,0.5388888888888889,-0.0029138605300191855,2.2627394154970997,212.8
"[256, 128, 64, 128, 256]",0.0001,0.2,256,100584.64600539152,0.005846460053915216,213,0.5446009389671361,-0.003865567096152933,1.5124456278960197,51.7
"[128, 64, 128]",0.0001,0.3,128,100831.42261238986,0.008314226123898552,218,0.5412844036697247,-0.0059508046097828116,1.3971599924874696,69.8
"[128, 64, 128]",0.0005,0.3,64,100604.12903419782,0.006041290341978165,209,0.5263157894736842,-0.0044616845767403435,1.3540379733414198,83.2
"[128, 64, 128]",0.0001,0.2,128,100699.99761534101,0.006999976153410098,245,0.5306122448979592,-0.005523992173675052,1.2671951612764667,51.6
"[128, 64, 128]",0.0001,0.3,64,100745.84643435504,0.00745846434355044,218,0.5229357798165137,-0.006082549676187932,1.226206893590851,105.4
"[64, 32, 64]",0.0005,0.3,128,100535.34821813156,0.005353482181315631,209,0.5215311004784688,-0.0048551442254380905,1.1026412260353757,46.5
"[128, 64, 32, 64, 128]",0.0001,0.2,64,100350.02903475903,0.003500290347590344,203,0.5221674876847291,-0.003363958754270868,1.0405271298723238,183.7
"[128, 64, 128]",0.001,0.4,128,100477.25958204787,0.004772595820478746,208,0.5192307692307693,-0.0047430785301965095,1.0062232345710316,42.2
"[256, 128, 64, 128, 256]",0.0005,0.2,64,99138.07936498617,-0.008619206350138265,218,0.48623853211009177,-0.009247209662145095,0.9320872636231381,81.6
"[128, 64, 128]",0.0001,0.4,256,100593.60327504316,0.005936032750431623,210,0.5190476190476191,-0.0069928324344255,0.8488738727970537,55.1
"[256, 128, 64, 128, 256]",0.001,0.4,128,98492.61749836433,-0.015073825016356714,213,0.40375586854460094,-0.018056017910642708,0.8348366229450731,58.6
"[256, 128, 64, 128, 256]",0.001,0.2,64,97935.18726257038,-0.020648127374296162,211,0.4218009478672986,-0.024824694479809173,0.8317575626596345,72.3
"[128, 64, 32, 64, 128]",0.0005,0.3,256,100344.60215547669,0.0034460215547669213,196,0.5102040816326531,-0.004207431037827947,0.8190322131924717,48.5
"[256, 128, 256]",0.001,0.4,64,98569.06888712349,-0.014309311128765111,218,0.4541284403669725,-0.017618905664447126,0.8121566345428374,63.0
"[128, 64, 32, 64, 128]",0.001,0.4,64,98984.36658835194,-0.010156334116480575,189,0.3915343915343915,-0.012574597894470796,0.8076865917872761,115.0
"[64, 32, 64]",0.0005,0.3,64,99293.05292491456,-0.00706947075085438,192,0.4375,-0.00883935715031614,0.7997720457082719,73.3
"[256, 128, 64, 128, 256]",0.001,0.3,64,98782.10994355132,-0.01217890056448683,243,0.46502057613168724,-0.015520106540410472,0.7847175876516067,90.9
"[64, 32, 64]",0.0005,0.4,256,100329.34427457403,0.0032934427457403216,161,0.5217391304347826,-0.004267949445916908,0.771668640286055,35.6
"[128, 64, 32, 64, 128]",0.001,0.3,128,99325.08028411404,-0.006749197158859606,219,0.4657534246575342,-0.008799211195735568,0.7670229761197827,62.8
"[64, 32, 64]",0.001,0.2,256,99404.00593371408,-0.005959940662859153,209,0.40669856459330145,-0.0077969816033289785,0.764390756073416,22.9
"[256, 128, 64, 128, 256]",0.0001,0.4,128,99284.0052296736,-0.007159947703264042,135,0.3925925925925926,-0.009482457171674508,0.7550730336702028,101.1
"[128, 64, 32, 64, 128]",0.0005,0.2,128,99151.94065802745,-0.008480593419725483,196,0.4489795918367347,-0.01131783243780915,0.7493125089389567,59.9
"[64, 32, 64]",0.0005,0.4,64,99617.82532287468,-0.003821746771253238,176,0.4715909090909091,-0.005176726783134078,0.7382554520174016,89.3
"[64, 32, 64]",0.001,0.3,256,100377.86282838893,0.003778628283889266,215,0.5116279069767442,-0.005127400988039876,0.7369480742199129,28.5
"[64, 32, 64]",0.0001,0.4,256,99505.42418792048,-0.004945758120795217,188,0.4521276595744681,-0.00674715771370793,0.7330135637332322,62.7
"[128, 64, 32, 64, 128]",0.0005,0.2,256,99357.45107165308,-0.006425489283469215,208,0.4855769230769231,-0.008773108194793044,0.7324073909498605,40.0
"[128, 64, 32, 64, 128]",0.0005,0.4,128,99684.69093602359,-0.003153090639764123,134,0.4253731343283582,-0.004538474948907356,0.6947467321645642,86.1
"[256, 128, 64, 128, 256]",0.0005,0.3,64,99364.74123680026,-0.006352587631997449,222,0.46396396396396394,-0.00922401064675027,0.6887012467007009,90.3
"[128, 64, 32, 64, 128]",0.0005,0.3,64,99537.53336257617,-0.004624666374238295,191,0.47643979057591623,-0.006909339214690613,0.6693355515684257,120.8
"[256, 128, 64, 128, 256]",0.0001,0.4,256,99311.68511819502,-0.006883148818049812,211,0.44075829383886256,-0.01068827285567664,0.6439907467738447,68.5
"[64, 32, 64]",0.001,0.4,256,100242.53285513831,0.0024253285513831362,185,0.4864864864864865,-0.003904502768618756,0.6211619494487162,27.8
"[256, 128, 256]",0.0001,0.2,64,99160.8778434995,-0.008391221565004962,209,0.5023923444976076,-0.014283242522611816,0.587487158586071,99.6
"[128, 64, 32, 64, 128]",0.001,0.4,256,99621.23913247112,-0.0037876086752887932,157,0.45222929936305734,-0.006476164662498118,0.5848536707570001,51.2
"[128, 64, 32, 64, 128]",0.0001,0.4,256,99903.83109702334,-0.0009616890297665669,24,0.4583333333333333,-0.001658015664646073,0.5800240916130627,62.5
