hidden_size,num_layers,learning_rate,dropout,seq_len,batch_size,conv_layout,conv_out_channels,conv_kernel_size,feature_mode,corr_threshold,final_equity,total_return_pct,trades,hit_rate,max_drawdown,RoverMDD,time_s
128,2,0.0005,0.5,60,64,single,16,5,auto,0.92,100718.48567460921,0.0071848567460921185,27,0.5925925925925926,-0.001152853283447386,6.23223861115023,6.9
128,2,0.001,0.35,40,64,single,16,5,auto,0.92,100853.23089587488,0.008532308958748763,30,0.6666666666666666,-0.0015273174123864308,5.586467416368314,5.8
64,2,0.001,0.5,40,128,double,16,5,auto,0.85,100431.01309270275,0.004310130927027494,30,0.6333333333333333,-0.0008538264485874469,5.0480175850233815,4.2
192,3,0.0005,0.2,60,128,double,16,5,manual,0.85,100235.2598053267,0.002352598053266993,21,0.7142857142857143,-0.0005233226481288211,4.49550208017727,28.8
128,1,0.0005,0.2,60,64,double,16,5,auto,0.92,100911.67619448561,0.009116761944856116,29,0.5172413793103449,-0.0020486215034687394,4.450193424905262,8.5
192,2,0.0005,0.2,60,64,single,16,3,auto,0.85,100911.65355085091,0.009116535508509114,41,0.5609756097560976,-0.0021311228745162225,4.27780848186833,16.3
192,1,0.001,0.2,40,64,double,16,5,auto,0.92,100757.09956516455,0.0075709956516454985,29,0.4482758620689655,-0.002080253141595989,3.639458823668432,9.3
128,1,0.0005,0.2,60,128,double,32,3,all,0.85,100988.58914699583,0.009885891469958297,28,0.6428571428571429,-0.0027289477179295307,3.6226020033314463,5.5
64,3,0.0005,0.5,60,64,single,16,5,auto,0.92,100353.10106013354,0.003531010601335438,14,0.7857142857142857,-0.0010465083458995883,3.374087378443359,8.2
192,3,0.0005,0.35,60,128,double,16,5,manual,0.85,100208.39756967388,0.0020839756967387804,29,0.6551724137931034,-0.0006597190776503892,3.158883481376539,25.7
192,3,0.001,0.2,60,64,double,32,5,all,0.85,100616.72624386361,0.0061672624386360985,17,0.5882352941176471,-0.002068670448934551,2.9812686896612695,20.5
192,2,0.0005,0.2,40,128,double,16,5,manual,0.85,100274.3384612825,0.0027433846128250296,25,0.72,-0.0009385923275312402,2.9228713386576435,14.9
192,3,0.0005,0.2,40,64,single,32,3,all,0.85,100584.08106042215,0.0058408106042214785,27,0.6666666666666666,-0.002101313783182346,2.7795994348715647,16.0
192,2,0.001,0.2,60,64,double,32,5,auto,0.85,100413.66320858404,0.004136632085840392,23,0.5217391304347826,-0.0015324967874917883,2.6992761874631714,15.0
64,1,0.0005,0.35,60,128,double,16,3,auto,0.92,100311.30919498822,0.0031130919498822186,25,0.52,-0.001506135894556171,2.0669396175566126,5.2
192,2,0.0005,0.2,60,128,single,16,3,auto,0.85,100433.09368009835,0.004330936800983473,33,0.48484848484848486,-0.00218995824242596,1.9776344210955414,19.7
64,3,0.0005,0.5,60,64,double,16,5,all,0.85,100081.60746401866,0.0008160746401865617,12,0.6666666666666666,-0.0004990455575442088,1.6352708241757437,8.2
128,3,0.001,0.35,20,128,double,16,3,all,0.85,100217.59899010614,0.0021759899010614027,23,0.5652173913043478,-0.0013721884963187048,1.5857806029558834,6.4
192,1,0.0005,0.2,20,64,single,32,3,auto,0.85,100164.00199083755,0.0016400199083755433,19,0.47368421052631576,-0.0010544022301299805,1.555402541374909,6.5
192,2,0.0005,0.5,40,64,double,32,3,all,0.85,101456.15355770734,0.014561535577073374,36,0.5,-0.00974832510600665,1.4937474303253342,13.6
192,2,0.0005,0.35,40,128,single,32,3,auto,0.85,100137.555248045,0.0013755524804499872,21,0.6190476190476191,-0.0010077426456075456,1.3649838938995158,12.5
128,1,0.0005,0.5,20,128,double,32,3,auto,0.85,100171.18354480504,0.001711835448050406,20,0.45,-0.001375640810829526,1.244391293551513,4.8
64,2,0.001,0.5,60,64,double,32,5,all,0.85,100361.76044551512,0.0036176044551511585,32,0.5,-0.0033087836312135632,1.0933336411073604,7.9
64,1,0.001,0.2,40,64,single,32,3,auto,0.85,100054.97663725168,0.0005497663725167513,9,0.6666666666666666,-0.0005038713228038283,1.0910848616220838,4.3
192,2,0.001,0.5,60,64,double,32,5,auto,0.92,100358.24768355383,0.0035824768355382547,24,0.4166666666666667,-0.0034542888625725965,1.0371098011965882,16.9
64,3,0.001,0.5,60,64,double,32,5,auto,0.85,100280.68628073364,0.002806862807336438,23,0.43478260869565216,-0.002749571678577256,1.0208363830648803,8.6
192,1,0.001,0.5,40,64,double,32,5,auto,0.92,100511.31958559372,0.005113195855937229,33,0.42424242424242425,-0.005070104370194617,1.0084991318908407,10.9
192,1,0.0005,0.2,60,128,double,16,3,all,0.85,100151.18283478914,0.0015118283478914236,22,0.45454545454545453,-0.0015052421920179748,1.0043754791809412,9.9
192,3,0.0005,0.35,20,64,single,16,5,auto,0.85,99884.47314338725,-0.001155268566127488,5,0.0,-0.0011552685661274653,1.0000000000000198,9.0
64,3,0.0005,0.2,40,128,double,32,3,auto,0.85,99934.24157943488,-0.0006575842056512193,3,0.0,-0.0006575842056512071,1.0000000000000184,4.5
128,3,0.001,0.5,60,128,single,32,5,auto,0.85,99671.31457310182,-0.0032868542689818425,20,0.2,-0.003286854268981787,1.0000000000000169,4.2
64,1,0.001,0.5,60,128,single,16,3,manual,0.85,99699.7386776551,-0.003002613223449007,23,0.2608695652173913,-0.003002613223448969,1.0000000000000127,3.4
192,2,0.0005,0.2,40,128,double,16,5,all,0.85,99598.6826963615,-0.0040131730363849785,22,0.2727272727272727,-0.004013173036384932,1.0000000000000118,12.8
