hidden_size,num_layers,learning_rate,dropout,seq_len,batch_size,conv_layout,conv_out_channels,conv_kernel_size,feature_mode,corr_threshold,final_equity,total_return_pct,trades,hit_rate,max_drawdown,RoverMDD,time_s
128,3,0.0001,0.2,20,64,double,16,5,auto,0.92,100197.1226657568,0.0019712266575680404,11,0.9090909090909091,-4.77489980703627e-05,41.28309990218538,18.8
128,3,0.0001,0.35,20,64,double,16,5,auto,0.92,100186.14411617654,0.0018614411617653968,12,0.8333333333333334,-0.00010956950946472421,16.98867842759382,17.4
128,3,0.001,0.2,60,64,double,16,3,auto,0.92,101489.59568760116,0.014895956876011623,23,0.6086956521739131,-0.0011005766141563011,13.534684168653557,15.7
128,3,0.001,0.2,40,64,single,32,5,auto,0.85,101946.147913445,0.019461479134450056,25,0.76,-0.0015272086526251227,12.743169769892065,8.5
128,3,0.0001,0.35,40,64,single,64,5,auto,0.85,100698.21610116522,0.006982161011652206,23,0.782608695652174,-0.0005503722633178887,12.686251610065948,15.0
128,3,0.0001,0.2,60,128,single,32,5,all,0.85,100632.49947072694,0.006324994707269362,22,0.6818181818181818,-0.0005503722633177777,11.492211960575116,17.9
128,3,0.0005,0.2,60,256,double,64,3,auto,0.92,100645.91477984378,0.006459147798437771,24,0.7083333333333334,-0.0005710466580670648,11.311068381524784,7.2
128,3,0.0001,0.5,60,256,double,32,5,auto,0.92,100583.46901445188,0.005834690144518827,22,0.7727272727272727,-0.0005503722633178887,10.601352090936997,11.0
128,3,0.0001,0.2,20,64,single,64,3,auto,0.85,100694.351568043,0.006943515680429991,31,0.7419354838709677,-0.0006654371368192136,10.434517847350635,14.0
128,3,0.0001,0.35,60,256,double,32,5,auto,0.92,100552.44942973829,0.0055244942973829165,21,0.7619047619047619,-0.0005503722633178887,10.03774111740081,17.8
128,3,0.0001,0.35,60,256,single,32,5,all,0.85,100516.4293677426,0.0051642936774260306,24,0.75,-0.0005503722633177777,9.38327387047889,16.8
128,3,0.0001,0.35,40,64,single,32,5,auto,0.85,100499.78449551426,0.004997844955142646,24,0.7916666666666666,-0.0005503722633178887,9.080844526963286,19.4
128,3,0.0001,0.2,60,256,single,64,5,auto,0.85,100499.43252115908,0.0049943252115907675,24,0.7916666666666666,-0.0005503722633177777,9.07444932178043,13.2
128,3,0.0005,0.2,60,256,single,16,5,auto,0.92,100600.1734613842,0.0060017346138419815,24,0.7083333333333334,-0.0006654371368192136,9.019236050651223,6.8
128,3,0.0001,0.2,40,64,double,16,5,manual,0.85,100488.48276733652,0.0048848276733652165,33,0.7272727272727273,-0.0005503722633178887,8.875497547636764,24.4
128,3,0.001,0.35,40,64,double,32,5,auto,0.92,100225.33993373532,0.002253399337353185,17,0.7058823529411765,-0.00025863157836369943,8.712777270315973,12.4
128,3,0.0001,0.35,40,256,single,16,5,auto,0.92,100491.1922896745,0.004911922896744946,24,0.75,-0.0005710466580670648,8.60161394407124,10.2
128,3,0.001,0.35,60,128,double,32,5,auto,0.92,100563.67244536441,0.005636724453644128,29,0.7241379310344828,-0.0006654371368192136,8.470709165087547,7.6
128,3,0.001,0.5,20,256,double,32,3,auto,0.92,100459.65764570158,0.004596576457015763,23,0.7391304347826086,-0.0005503722633178887,8.351758915512123,7.0
128,3,0.0005,0.2,40,128,double,32,5,all,0.85,100915.46983672497,0.009154698367249657,16,0.6875,-0.001100576614156079,8.318092761101843,11.9
128,3,0.0001,0.35,40,128,single,16,5,auto,0.92,100456.76901235463,0.004567690123546344,21,0.7142857142857143,-0.0005503722633178887,8.299273833332874,10.9
128,3,0.0001,0.2,40,64,single,32,5,all,0.85,100439.79831821998,0.004397983182199823,21,0.7619047619047619,-0.0005503722633178887,7.990924462084672,18.2
128,3,0.0005,0.5,60,256,double,64,5,auto,0.92,100697.82555265499,0.0069782555265499105,25,0.68,-0.0008794719274990426,7.9345972376787515,8.8
128,3,0.0001,0.2,40,256,single,16,5,auto,0.92,100435.57070672161,0.004355707067216135,23,0.782608695652174,-0.0005503722633178887,7.91411078922836,18.4
128,3,0.0001,0.5,60,256,single,64,5,all,0.85,100441.9252608708,0.004419252608708048,27,0.7407407407407407,-0.0005710466580670648,7.738864322692599,7.6
128,3,0.001,0.5,40,128,double,64,3,auto,0.85,100424.925135579,0.004249251355790038,20,0.75,-0.0005503722633178887,7.720685868458672,8.5
128,3,0.0005,0.5,60,256,double,16,5,manual,0.85,100413.99993705713,0.004139999370571313,32,0.71875,-0.0005503722633178887,7.522180252350576,8.6
128,3,0.0001,0.5,60,64,double,32,5,auto,0.92,100519.64126581825,0.005196412658182526,27,0.6296296296296297,-0.0007014858423347592,7.407722785804596,17.5
128,3,0.0001,0.5,20,64,double,16,5,manual,0.85,100486.27082660218,0.0048627082660218,36,0.7222222222222222,-0.0006597190776505002,7.370877136583157,20.8
128,3,0.0001,0.5,40,256,double,32,5,auto,0.92,100404.21632745162,0.004042163274516206,23,0.6956521739130435,-0.0005503722633178887,7.344416759209937,6.6
128,3,0.0001,0.35,60,128,double,16,3,all,0.85,100482.32502055806,0.004823250205580553,22,0.6818181818181818,-0.0006685998655167058,7.213956290363684,15.7
128,3,0.0001,0.35,40,256,double,32,5,auto,0.92,100522.8136328196,0.005228136328195979,28,0.6428571428571429,-0.0007287965921952688,7.173656386685171,11.0
128,3,0.0001,0.5,20,128,single,32,5,auto,0.92,100378.31418517388,0.003783141851738765,22,0.7727272727272727,-0.0005503722633178887,6.873787259794496,7.8
128,3,0.0001,0.35,40,128,single,32,5,auto,0.85,100378.31418517388,0.003783141851738765,22,0.7727272727272727,-0.0005503722633178887,6.873787259794496,8.7
128,3,0.0005,0.35,60,64,double,64,5,auto,0.92,100389.709859075,0.003897098590749956,20,0.7,-0.0005710466580670648,6.824483666433214,12.5
128,3,0.001,0.2,40,128,double,64,5,auto,0.92,100529.33118397061,0.005293311839706148,17,0.7647058823529411,-0.0007818857513135491,6.76993004516774,8.4
128,3,0.001,0.5,40,128,double,16,5,auto,0.92,100157.60786988014,0.0015760786988014298,9,0.7777777777777778,-0.0002346920376752326,6.715518406220543,7.5
128,3,0.0005,0.35,20,64,single,32,3,auto,0.85,100583.25936867116,0.0058325936867116256,24,0.625,-0.0008794719274988205,6.631927073896794,11.0
128,3,0.0001,0.2,40,256,double,32,5,auto,0.92,100436.73002405757,0.004367300240575714,27,0.6296296296296297,-0.0006597190776503892,6.61993928708261,11.1
128,3,0.0001,0.2,60,128,single,16,5,all,0.85,100359.07693725699,0.003590769372569921,21,0.7142857142857143,-0.0005503722633177777,6.524255693635233,11.7
128,3,0.0001,0.2,60,256,double,32,5,auto,0.92,100358.04225337373,0.003580422533737292,19,0.7368421052631579,-0.0005503722633178887,6.505455983833403,18.3
128,3,0.0001,0.5,20,256,single,32,5,manual,0.85,100357.1937384932,0.0035719373849319525,30,0.7333333333333333,-0.0005503722633178887,6.490038875503511,11.3
128,3,0.001,0.35,60,256,single,32,5,auto,0.85,100678.84243672751,0.006788424367275147,24,0.7916666666666666,-0.0010465083458995883,6.486736960936279,5.8
128,3,0.0001,0.35,60,256,single,16,5,auto,0.92,100369.7323644102,0.003697323644101998,22,0.7272727272727273,-0.0005710466580670648,6.474643694820078,16.9
128,3,0.0001,0.2,40,128,double,64,5,auto,0.85,100352.68127829529,0.003526812782952911,25,0.68,-0.0005503722633177777,6.408049638425504,11.9
128,3,0.0001,0.2,60,64,double,16,5,manual,0.85,100439.95204727429,0.004399520472742879,37,0.6756756756756757,-0.000694088702294704,6.3385565248328755,24.5
128,3,0.0001,0.35,20,64,double,64,5,auto,0.92,100542.95665577648,0.005429566557764774,21,0.7142857142857143,-0.0008669027993917222,6.2631780190057365,16.2
128,3,0.0001,0.2,40,256,single,16,5,manual,0.85,100338.54875303298,0.003385487530329847,21,0.7142857142857143,-0.0005503722633178887,6.151268434060653,8.3
128,3,0.0005,0.5,40,128,single,16,3,auto,0.92,100671.73940796655,0.006717394079665537,20,0.75,-0.0011005766141561901,6.103522456558601,10.9
128,3,0.0005,0.2,40,64,double,16,3,all,0.85,101505.578887224,0.015055788872239937,29,0.4482758620689655,-0.0024855578640446963,6.0573077336208,17.2
128,3,0.001,0.2,60,128,single,64,3,auto,0.85,100427.05083422281,0.004270508342228131,23,0.6956521739130435,-0.0007101744997395354,6.013322561982146,7.2
128,3,0.0001,0.5,60,64,double,64,5,all,0.85,100326.9194258024,0.003269194258024072,20,0.65,-0.0005503722633177777,5.939969137101087,13.9
128,3,0.0005,0.5,60,256,double,64,3,auto,0.92,100325.66126907645,0.0032566126907644503,22,0.7272727272727273,-0.0005503722633177777,5.917109032953075,7.9
128,3,0.0005,0.5,20,256,double,64,3,auto,0.85,100325.22516634384,0.0032522516634383644,23,0.7391304347826086,-0.0005503722633178887,5.909185255507509,6.1
128,3,0.0001,0.5,60,64,double,16,5,manual,0.85,100475.27435274846,0.004752743527484563,39,0.6410256410256411,-0.0008094919347159113,5.871267301943563,19.4
128,3,0.001,0.35,20,256,double,64,3,auto,0.85,100323.09387294896,0.0032309387294895712,22,0.7272727272727273,-0.0005503722633178887,5.870460676946248,5.2
128,3,0.0001,0.5,60,256,single,16,5,auto,0.92,100318.34137658202,0.0031834137658201507,21,0.7142857142857143,-0.0005503722633177777,5.7841100978268045,9.4
128,3,0.001,0.5,60,256,double,64,5,all,0.85,101470.25247372256,0.014702524737225612,31,0.6129032258064516,-0.002542028511917982,5.7837764872796145,6.5
128,3,0.001,0.2,20,256,double,32,3,manual,0.85,100316.72322512748,0.003167232251274836,27,0.6666666666666666,-0.0005503722633178887,5.754709062156134,5.0
128,3,0.0005,0.35,60,256,double,64,3,auto,0.92,100505.12907823187,0.005051290782318684,32,0.5625,-0.0008794719274988205,5.743549764782524,8.3
128,3,0.0005,0.2,20,64,double,16,5,auto,0.92,100303.05549643553,0.0030305549643552514,21,0.7619047619047619,-0.0005288893249603133,5.730036174548726,12.6
128,3,0.001,0.2,40,256,single,32,5,auto,0.92,100872.7618089415,0.008727618089415046,25,0.68,-0.0015272086526251227,5.7147515988814765,4.9
