hidden_size,num_layers,learning_rate,dropout,seq_len,batch_size,conv_layout,conv_out_channels,conv_kernel_size,feature_mode,corr_threshold,final_equity,total_return_pct,trades,hit_rate,max_drawdown,RoverMDD,time_s
64,3,0.001,0.2,60,256,single,16,5,auto,0.92,102182.10996824382,0.021821099682438217,33,0.7272727272727273,-0.0006654371368192136,32.79212787363052,3.9
64,3,0.001,0.5,20,256,double,64,3,all,0.85,101412.15879766656,0.014121587976665614,16,0.625,-0.0006998065648062823,20.179273369026905,6.8
64,3,0.0001,0.5,60,64,double,32,5,auto,0.92,100186.14411617654,0.0018614411617653968,12,0.8333333333333334,-0.00010956950946472421,16.98867842759382,22.0
64,3,0.0005,0.2,40,64,single,16,5,auto,0.92,100919.92581233438,0.009199258123343752,21,0.7619047619047619,-0.0005503722633178887,16.714610703465567,9.0
64,3,0.0005,0.2,20,256,double,64,3,all,0.85,100371.30823441267,0.0037130823441267422,18,0.7222222222222222,-0.00025863157836369943,14.356647272612774,5.0
64,3,0.0005,0.5,60,64,single,32,5,auto,0.92,100743.53279335616,0.007435327933561639,23,0.7391304347826086,-0.0005710466580670648,13.02052613131381,10.9
64,3,0.0001,0.2,40,64,single,16,5,auto,0.92,101029.87455074345,0.010298745507434506,27,0.7037037037037037,-0.0008194623178825466,12.567686497221734,18.0
64,3,0.001,0.35,40,256,single,16,5,auto,0.92,100708.28229115992,0.007082822911599214,24,0.6666666666666666,-0.0005710466580670648,12.403229773857454,3.9
64,3,0.0001,0.2,20,64,single,32,5,auto,0.92,100673.79505131466,0.006737950513146643,23,0.7391304347826086,-0.0005503722633177777,12.24253284954558,19.2
64,3,0.0001,0.2,60,256,single,32,3,auto,0.92,100654.52021477811,0.006545202147781092,23,0.782608695652174,-0.0005503722633178887,11.892318316195121,10.9
64,3,0.001,0.35,20,256,single,16,5,auto,0.92,100659.5180392975,0.006595180392975017,25,0.72,-0.0005710466580670648,11.54928463341163,4.5
64,3,0.0005,0.2,40,256,single,64,5,auto,0.85,100626.46556618995,0.006264655661899451,22,0.7727272727272727,-0.0005503722633177777,11.382578809721597,4.1
64,3,0.0001,0.2,40,128,single,16,5,auto,0.92,100603.80328853132,0.0060380328853131505,24,0.75,-0.0005503722633178887,10.970816096205873,13.8
64,3,0.001,0.5,20,64,single,16,5,auto,0.92,100603.80328853132,0.0060380328853131505,24,0.75,-0.0005503722633178887,10.970816096205873,9.5
64,3,0.0005,0.5,40,128,double,32,5,all,0.85,100104.66169760445,0.001046616976044461,5,0.8,-9.54979961407254e-05,10.959570025973854,6.3
64,3,0.001,0.35,60,256,single,16,5,auto,0.92,100716.16286191343,0.007161628619134281,26,0.7307692307692307,-0.0006654371368192136,10.762291767133455,4.2
64,3,0.0005,0.5,60,128,single,16,5,auto,0.92,100716.16286191343,0.007161628619134281,26,0.7307692307692307,-0.0006654371368192136,10.762291767133455,7.0
64,3,0.0001,0.35,60,64,single,64,5,auto,0.85,100589.76413432875,0.005897641343287542,22,0.7727272727272727,-0.0005503722633177777,10.715731399208106,15.2
64,3,0.0001,0.35,40,128,single,64,5,auto,0.85,100547.89226199746,0.005478922619974619,21,0.7619047619047619,-0.0005503722633178887,9.954939565713646,12.0
64,3,0.0001,0.2,40,64,single,32,3,auto,0.92,100545.61051449306,0.005456105144930625,23,0.782608695652174,-0.0005503722633178887,9.913481308158223,19.2
64,3,0.0001,0.2,20,64,single,64,5,auto,0.85,100543.08752120662,0.005430875212066167,23,0.782608695652174,-0.0005503722633178887,9.867639730473401,14.0
64,3,0.0005,0.35,60,256,single,16,5,auto,0.92,101973.0694849336,0.019730694849335997,26,0.7307692307692307,-0.002055290253231923,9.599955440994128,4.8
64,3,0.0001,0.2,20,128,double,64,5,auto,0.92,100627.35676798863,0.006273567679886328,28,0.7142857142857143,-0.0006654371368193246,9.427739049661257,13.7
64,3,0.0001,0.35,40,64,single,64,5,auto,0.85,100518.32146404168,0.005183214640416846,21,0.7142857142857143,-0.0005503722633179997,9.417652352553302,15.9
